Date,Close,Volume,Return
1999-12-31,146.875,3172700,0.0015984773635864258
2000-01-03,145.4375,8164300,-0.009787261486053467
2000-01-04,139.75,8089800,-0.039106130599975586
2000-01-05,140.0,12177900,0.0017888545989990234
2000-01-06,137.75,6227200,-0.016071438789367676
2000-01-07,145.75,8066600,0.05807626247406006
2000-01-10,146.25,5741600,0.003430485725402832
2000-01-11,144.3125,7433700,-0.013247847557067871
2000-01-12,143.0625,6911700,-0.008661746978759766
2000-01-13,145.0,5158300,0.013543009757995605
2000-01-14,146.9687957763672,7437300,0.013577938079833984
2000-01-18,145.8125,6488500,-0.007867634296417236
2000-01-19,146.25,6152900,0.0030003786087036133
2000-01-20,144.75,5800100,-0.010256409645080566
2000-01-21,144.4375,6244800,-0.0021588802337646484
2000-01-24,140.3437957763672,7896900,-0.028342366218566895
2000-01-25,141.9375,9942500,0.011355757713317871
2000-01-26,140.8125,5158100,-0.00792604684829712
2000-01-27,140.25,10919900,-0.00399470329284668
2000-01-28,135.875,11916200,-0.03119426965713501
2000-01-31,139.625,10768600,0.027598857879638672
2000-02-01,140.9375,8419800,0.009400129318237305
2000-02-02,141.0625,6205900,8.869171142578125E-4
2000-02-03,143.1875,7997500,0.015064239501953125
2000-02-04,142.5937957763672,4925400,-0.0041463375091552734
2000-02-07,142.375,5845800,-0.0015344023704528809
2000-02-08,144.3125,4936500,0.013608455657958984
2000-02-09,141.2812957763672,8511500,-0.021004438400268555
2000-02-10,141.5625,6690600,0.0019904375076293945
2000-02-11,138.6875,9849200,-0.020309031009674072
2000-02-14,139.5,8528800,0.0058585405349731445
2000-02-15,141.0937957763672,11078300,0.011425018310546875
2000-02-16,139.0,8845400,-0.014839768409729004
2000-02-17,138.2812957763672,7584200,-0.0051705241203308105
2000-02-18,135.3125,9650900,-0.02146923542022705
2000-02-22,134.9687957763672,16415400,-0.0025400519371032715
2000-02-23,136.5625,12119000,0.011807918548583984
2000-02-24,133.8125,17375000,-0.020137310028076172
2000-02-25,133.32809448242188,10559900,-0.0036200284957885742
2000-02-28,136.125,13397800,0.02097761631011963
2000-02-29,137.4375,8242500,0.009641885757446289
2000-03-01,138.4375,6866000,0.007276058197021484
2000-03-02,138.5312957763672,7600200,6.775856018066406E-4
2000-03-03,141.125,12770300,0.018722891807556152
2000-03-06,139.8125,11966900,-0.009300291538238525
2000-03-07,137.04690551757812,20061800,-0.019780755043029785
2000-03-08,136.875,11808400,-0.0012543797492980957
2000-03-09,140.875,5500900,0.02922379970550537
2000-03-10,140.1875,7924500,-0.004880189895629883
2000-03-13,138.5937957763672,10540400,-0.011368393898010254
2000-03-14,136.625,8263700,-0.014205515384674072
2000-03-15,139.8125,10300800,0.023330330848693848
2000-03-16,146.3437957763672,25601400,0.0467146635055542
2000-03-17,146.9375,10272900,0.0040569305419921875
2000-03-20,146.7812957763672,12502100,-0.0010630488395690918
2000-03-21,149.1875,13612800,0.016393184661865234
2000-03-22,150.0937957763672,8259800,0.0060749053955078125
2000-03-23,152.5,11653900,0.016031384468078613
2000-03-24,153.5625,11462900,0.00696718692779541
2000-03-27,151.9375,8798600,-0.010582029819488525
2000-03-28,151.0625,6334300,-0.005758941173553467
